Year,Country,Population,Deforestation,Harvest,PerCap-Territorial,PerCap-Consumption,Total-Territorial,Total-Consumption,Population-Increase,Deforestation-Increase,Harvest-Increase,PerCap-Territorial-Increase,Total-Territorial-Increase
1950,AFG,7480.461,1.0334866666666669,0.0453333333333333,0.0030746768147043,,22.99999999999974,,0.0,0.0,0.0,0.0,0.0
1951,AFG,7571.537,1.10335,0.0462499999999999,0.0033018395076191,,24.999999999999797,,1.217518545982661,6.759964650406697,2.022058823529267,7.38818115219199,8.69565217391339
1952,AFG,7667.533,1.1399033333333333,0.0490666666666666,0.0032605011285898,,24.999999999999538,,2.5008084394798678,10.296859175735182,8.235294117646983,6.043702316835909,8.695652173912261
1953,AFG,7764.546,1.18565,0.0504733333333333,0.0037349253903576,,28.99999999999954,,3.7976937517620906,14.723299123355874,11.338235294117652,21.47375530643529,26.086956521738557
1954,AFG,7864.285,1.2018700000000002,0.0552666666666666,0.0036875571015038,,28.99999999999981,,5.1310206683785875,16.29274365739277,21.911764705882298,19.933161230750116,26.086956521739737
1955,AFG,7971.931,1.2512166666666664,0.0545633333333333,0.0052684851386696,,41.99999999999948,,6.570049626620595,21.067519013307653,20.36029411764706,71.35085916912163,82.60869565217371
1956,AFG,8087.727,1.2864966666666666,0.0582766666666666,0.0061822066941675,,49.99999999999923,,8.118029089383658,24.481206014591354,28.55147058823524,101.06850465069319,117.39130434782521
1957,AFG,8210.201,1.3092899999999998,0.0639666666666666,0.0097439758174008,,79.99999999999986,,9.755281125053642,26.6866852015507,41.102941176470544,216.91056994352445,247.82608695652502
1958,AFG,8333.826,1.3775866666666667,0.0601433333333333,0.0107993615417457,,90.0000000000004,,11.40791991295722,33.29505944279234,32.66911764705884,251.23566451273695,291.3043478260931
1959,AFG,8468.211,1.40833,0.06462,0.0123945245127805,,104.95944881889747,,13.20440010314871,36.26977932306817,42.54411764705892,303.1163357886938,356.34542964738546
1960,AFG,8622.466,1.311583333333333,0.0674233333333333,0.0131006378605625,,112.9598045310129,,15.266505633810537,26.908587757945547,48.7279411764706,326.0817851785318,391.1295849174529
1961,AFG,8790.14,1.1817,0.06962,0.0152388174230077,,133.9513385826769,,17.50799850437024,14.341097772588556,53.57352941176482,395.62338877796043,482.39712427251476
1962,AFG,8969.047,1.12138,0.0725466666666666,0.0209537443733137,,187.93511811023612,,19.899655916928115,8.50454448694708,60.02941176470586,581.4942069067146,717.1092091749489
1963,AFG,9157.465,1.12351,0.07049,0.0210633026381115,,192.88645669291373,,22.41845789985403,8.71064293685451,55.49264705882363,585.0574518069216,738.6367682300692
1964,AFG,9355.514,1.0543166666666666,0.0815166666666666,0.0244628062107814,,228.86212598425232,,25.06600863235566,2.015507376324772,79.8161764705882,695.62203395787,895.0527216706736
1965,AFG,9565.147,1.0480833333333333,0.0848366666666666,0.0287307100002675,,274.8134645669287,,27.86841613103792,1.4123710675189842,87.13970588235293,834.4302419970151,1094.8411502910078
1966,AFG,9783.147,1.0232233333333334,0.0894666666666666,0.0304406500618573,,297.80535433070906,,30.78267502497507,-0.9930784464240962,97.35294117647058,890.0438939233638,1194.805888394402
1967,AFG,10010.03,0.9758633333333334,0.0967233333333333,0.0349503463773866,,349.8540157480312,,33.81568328476013,-5.575624262206266,113.36029411764714,1036.7161000544986,1421.104416295805
1968,AFG,10247.78,0.9297866666666668,0.09909,0.0325821672259473,,333.89488165471823,,36.99396333995993,-10.033994955587247,118.58088235294133,959.6940488225205,1351.716876759661
1969,AFG,10494.489,0.8892066666666668,0.1031666666666666,0.0244782243988167,,256.8864566929135,,40.292008741172495,-13.960509085748571,127.57352941176472,696.1234911504298,1016.8976377952888
1970,AFG,10752.971,0.8583466666666667,0.1047733333333333,0.0423970580045365,,455.8943352080988,,43.74743749081774,-16.94651761351543,131.11764705882362,1278.911038772507,1882.1492835134957
1971,AFG,11015.857,0.8085133333333333,0.11057,0.0469141471699559,,516.7995365011889,,47.26173961738454,-21.768382756107176,143.90441176470603,1425.823688057041,2146.9545065269335
1972,AFG,11286.753,0.73473,0.1264266666666666,0.0370054253415583,,417.67109549010917,,50.883120706063444,-28.907645962212076,178.88235294117652,1103.5549611127897,1715.9612847396256
1973,AFG,11575.305,0.7026133333333333,0.1227733333333333,0.0385611804514219,,446.3574248852462,,54.74053002883112,-32.015249350096454,170.82352941176484,1154.1539412209875,1840.6844560228315
1974,AFG,11869.879,0.6493933333333334,0.12645,0.0439893753643941,,522.1485628609389,,58.67844241150378,-37.164807802713156,178.93382352941197,1330.6991601204982,2170.211142873673
1975,AFG,12157.386,0.6010266666666667,0.1246633333333333,0.0476237283473873,,578.9800482783295,,62.52188200700465,-41.84475851970353,174.99264705882368,1448.9019242488223,2417.3045577318953
1976,AFG,12425.267,0.5634566666666667,0.12206,0.0435103202956545,,540.6273469290261,,66.10295809309078,-45.480025544596614,169.25000000000017,1315.1184959528503,2250.55368230014
1977,AFG,12687.301,0.5369333333333334,0.11742,0.0512877217266812,,650.7027631506442,,69.6058705472831,-48.04641891848307,159.0147058823531,1568.0687050230247,2729.142448481093
1978,AFG,12938.862,0.4980233333333333,0.1180266666666666,0.0454206077787552,,587.69097600544,,72.96877826112586,-51.811344123130134,160.35294117647064,1377.2481960229509,2455.17815654542
1979,AFG,12986.369,0.4674866666666666,0.1187566666666666,0.0469242904654452,,609.376151047453,,73.6038594412831,-54.766066970707584,161.96323529411765,1426.153585997559,2549.461526293304
