Year,Country,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1950,World,0.647483599400466,0.647483599400466
1951,World,0.684844971879006,0.684844971879006
1952,World,0.681446177281454,0.681446177281454
1953,World,0.687499900301531,0.687499900301531
1954,World,0.688351773070436,0.688351773070436
1955,World,0.739828120896789,0.739828120896789
1956,World,0.772296406284136,0.772296406284136
1957,World,0.781724609231089,0.781724609231089
1958,World,0.787782777435403,0.787782777435403
1959,World,0.813612029578502,0.813612029578502
1960,World,0.848492263516734,0.848492263516734
1961,World,0.837391515628674,0.837391515628674
1962,World,0.85076838582226,0.85076838582226
1963,World,0.876740401924477,0.876740401924477
1964,World,0.904148221363886,0.904148221363886
1965,World,0.924963142558097,0.924963142558097
1966,World,0.950372728321792,0.950372728321792
1967,World,0.960914720033768,0.960914720033768
1968,World,0.992983804464005,0.992983804464005
1969,World,1.03729499891326,1.03729499891326
1970,World,1.10031426785408,1.10031426785408
1971,World,1.12226169910917,1.12226169910917
1972,World,1.15163172623864,1.15163172623864
1973,World,1.18934396192567,1.18934396192567
1974,World,1.1618768049162,1.1618768049162
1975,World,1.14349438995209,1.14349438995209
1976,World,1.18494381809456,1.18494381809456
1977,World,1.1973290602338,1.1973290602338
1978,World,1.2129276617051,1.2129276617051
1979,World,1.22553265322618,1.22553265322618
1980,World,1.19650107398065,1.19650107398065
1981,World,1.14710330226437,1.14710330226437
1982,World,1.11737484801004,1.11737484801004
1983,World,1.10440525853816,1.10440525853816
1984,World,1.12247022722964,1.12247022722964
1985,World,1.13988077608339,1.13988077608339
1986,World,1.13621196442269,1.13621196442269
1987,World,1.15027561504027,1.15027561504027
1988,World,1.17403390532912,1.17403390532912
1989,World,1.16924638016467,1.16924638016467
1990,World,1.16809493719889,1.16809493719889
1991,World,1.17270327822061,1.17270327822061
1992,World,1.12134025494022,1.12134025494022
1993,World,1.11561297006937,1.11561297006937
1994,World,1.11059630479103,1.11059630479103
1995,World,1.11791652515864,1.11791652515864
1996,World,1.13619384504192,1.13619384504192
1997,World,1.12728427339643,1.12728427339643
1998,World,1.10910228249656,1.10910228249656
1999,World,1.11700235695749,1.11700235695749
2000,World,1.13190320448482,1.13190320448482
2001,World,1.12464043311588,1.12464043311588
2002,World,1.13488151994837,1.13488151994837
2003,World,1.18019216283248,1.18019216283248
2004,World,1.20622107964803,1.20622107964803
2005,World,1.23150814219916,1.23150814219916
2006,World,1.25772909282273,1.25772909282273
2007,World,1.27819725673584,1.27819725673584
2008,World,1.28384876316734,1.28384876316734
2009,World,1.24600502815429,1.24600502815429
2010,World,1.30126989469798,1.30126989469798
2011,World,1.32877610325179,1.32877610325179
2012,World,1.33135820776998,1.33135820776998
2013,World,1.32621532047208,1.32621532047208
2014,World,1.31892909532579,1.31892909532579
2015,World,1.30326504718395,1.30326504718395
2016,World,1.2880798273055,1.2880798273055
2017,World,1.29375047473293,1.29375047473293
2018,World,1.30595016460904,1.30595016460904
2019,World,1.30190112999948,1.30190112999948
2020,World,1.21989897187251,1.21989897187251
2021,World,1.27185037981381,1.27185037981381
2022,World,1.27280759138271,1.27280759138271
1950,EU27,1.05917821874917,
1951,EU27,1.17707769179655,
1952,EU27,1.21544550432985,
1953,EU27,1.22892888339452,
1954,EU27,1.29667215098104,
1955,EU27,1.39187404970287,
1956,EU27,1.47926868990427,
1957,EU27,1.51460625085391,
1958,EU27,1.490184709638,
1959,EU27,1.50066504258323,
1960,EU27,1.61035515854073,
1961,EU27,1.67295094009516,
1962,EU27,1.7760040499557,
1963,EU27,1.88005856441812,
1964,EU27,1.96163355518701,
1965,EU27,1.96968738443796,
1966,EU27,2.01389208881017,
1967,EU27,2.04333965299411,
1968,EU27,2.15374408622202,
1969,EU27,2.28210442754255,
1970,EU27,2.3678047749593,
1971,EU27,2.41941769812187,
1972,EU27,2.49451274969016,
1973,EU27,2.59917221942291,
1974,EU27,2.56967477978682,
1975,EU27,2.50472649940354,
1976,EU27,2.68049076034158,
1977,EU27,2.64071127996813,
1978,EU27,2.71720051413416,
1979,EU27,2.77960805768694,
1980,EU27,2.74353963178339,
1981,EU27,2.58911172868186,
1982,EU27,2.5189538449841,
1983,EU27,2.482777133499,
1984,EU27,2.49892362414134,
1985,EU27,2.52944847161461,
1986,EU27,2.51207329529442,
1987,EU27,2.52709904130167,
1988,EU27,2.49191997095902,
