Year,Country,BLUE_deforestation,H&C2023_deforestation,OSCAR_deforestation,BLUE_forest-regrowth,H&C2023_forest-regrowth,OSCAR_forest-regrowth,BLUE_wood-harvest,H&C2023_wood-harvest,OSCAR_wood-harvest,FAO_GFED4_peat,LPX-Bern_GFED4_peat,ORCHIDEE-PEAT-full_GFED4_peat,Mean_deforestation,Mean_forest-regrowth,Mean_wood-harvest,Mean_GFED4_peat
1850,BRA,10.81303,27.23481,8.41748,-0.87085,-22.77301,-1.20512,0.02124,-0.16062,0.11799,0.09269,1.01326,0.63161,15.48844,-8.282993333333334,-0.00713,0.5791866666666666
1851,BRA,10.86898,27.45451,8.65224,-0.88756,-22.78202,-1.2328,0.05361,-0.16207,0.13855,0.09269,2.84947,1.498,15.658576666666669,-8.300793333333333,0.01003,1.4800533333333334
1852,BRA,10.93442,27.67553,8.81727,-0.90514,-22.79096,-1.25925,0.09335,-0.16353,0.16141,0.09269,-0.56555,-0.13909,15.809073333333332,-8.31845,0.0304099999999999,-0.2039833333333333
1853,BRA,10.94177,27.88589,8.96455,-0.92051,-22.79986,-1.28552,0.13832,-0.16496,0.18555,0.09269,0.73529,0.48077,15.930736666666666,-8.335296666666666,0.0529699999999999,0.4362499999999999
1854,BRA,10.97048,28.08534,9.14346,-0.93614,-22.80879,-1.31112,0.18719,-0.16631,0.21058,0.09269,1.53862,0.87316,16.066426666666665,-8.352016666666666,0.0771533333333333,0.8348233333333334
1855,BRA,10.97981,28.27876,9.32749,-0.95097,-22.81773,-1.33732,0.23896,-0.16756,0.23633,0.09269,2.66308,1.36022,16.195353333333333,-8.368673333333334,0.1025766666666666,1.3719966666666668
1856,BRA,11.04385,28.46632,9.49002,-0.96756,-22.8267,-1.36373,0.29308,-0.1687,0.26268,0.09269,0.30732,0.28824,16.33339666666667,-8.385996666666665,0.12902,0.2294166666666666
1857,BRA,11.05597,28.67159,9.62907,-0.98295,-22.83568,-1.39127,0.34914,-0.16974,0.28958,0.09269,0.12626,0.19376,16.452209999999997,-8.4033,0.1563266666666666,0.13757
1858,BRA,11.05831,28.86005,9.76843,-0.99747,-22.84468,-1.41825,0.40675,-0.17068,0.31694,0.09269,-1.60173,-0.59531,16.562263333333334,-8.420133333333334,0.1843366666666666,-0.70145
1859,BRA,11.06722,29.03344,9.93674,-1.0117,-22.85369,-1.44393,0.46584,-0.17151,0.34472,0.09269,1.1343,0.68584,16.679133333333333,-8.43644,0.2130166666666666,0.63761
1860,BRA,11.09013,29.1968,10.15804,-1.02126,-22.86271,-1.46913,0.52642,-0.17225,0.37292,0.09269,0.14927,0.2708,16.814989999999998,-8.451033333333333,0.2423633333333333,0.17092
1861,BRA,11.17651,29.35055,10.36543,-1.03514,-22.87169,-1.49492,0.58801,-0.17312,0.40151,0.09269,0.10678,0.2233,16.96416333333333,-8.46725,0.2721333333333333,0.1409233333333333
1862,BRA,11.23229,29.48473,10.47448,-1.05047,-22.88068,-1.52298,0.65087,-0.17399,0.43044,0.09269,0.46259,0.3254,17.06383333333333,-8.484710000000002,0.30244,0.29356
1863,BRA,11.21775,29.61235,10.57865,-1.06379,-22.88969,-1.54938,0.71486,-0.17468,0.45968,0.09269,0.66321,0.44981,17.13625,-8.500953333333333,0.3332866666666667,0.4019033333333333
1864,BRA,11.22736,29.69336,10.71969,-1.07767,-22.89873,-1.5757,0.78006,-0.17526,0.48921,0.09269,3.67544,1.91867,17.213469999999997,-8.517366666666668,0.36467,1.8956
1865,BRA,11.23542,29.7299,10.83886,-1.09151,-22.90779,-1.60221,0.84647,-0.17572,0.51907,0.09269,1.4134,0.84349,17.268060000000002,-8.533836666666666,0.3966066666666667,0.7831933333333333
1866,BRA,11.24527,29.71204,10.87898,-1.10537,-22.91688,-1.62702,0.914,-0.17604,0.54921,0.09269,2.54617,1.39,17.278763333333334,-8.549756666666667,0.4290566666666667,1.3429533333333332
1867,BRA,11.24111,29.65743,10.86554,-1.11841,-22.92601,-1.65184,0.98283,-0.17624,0.57962,0.09269,2.35692,1.33487,17.254693333333336,-8.565420000000001,0.46207,1.2614933333333334
1868,BRA,11.2914,29.54861,10.8874,-1.13345,-22.93515,-1.67713,1.05272,-0.17634,0.6103,0.09269,0.80504,0.53756,17.24247,-8.58191,0.49556,0.4784299999999999
1869,BRA,11.25702,29.41962,10.91318,-1.14558,-22.94432,-1.70285,1.12388,-0.17633,0.64127,0.09269,0.75099,0.5037,17.196606666666668,-8.597583333333334,0.5296066666666667,0.4491266666666667
1870,BRA,13.23293,29.25995,11.64199,-1.10593,-22.95351,-1.72391,1.19676,-0.17621,0.67253,0.09269,3.96143,2.0152,18.044956666666668,-8.59445,0.5643600000000001,2.0231066666666666
1871,BRA,13.96892,29.02281,12.46227,-1.10773,-22.9627,-1.76403,1.26952,-0.17589,0.704,0.09269,2.35513,1.25296,18.48466666666667,-8.611486666666666,0.59921,1.233593333333333
1872,BRA,14.38198,28.69487,12.60949,-1.13797,-22.97191,-1.82291,1.34351,-0.17536,0.73562,0.09269,1.35216,0.80094,18.562113333333333,-8.644263333333333,0.6345900000000001,0.7485966666666667
1873,BRA,14.64654,28.33786,12.61892,-1.18687,-22.98113,-1.89411,1.41868,-0.17464,0.76745,0.09269,-0.81484,-0.20664,18.53444,-8.68737,0.6704966666666667,-0.3095966666666667
1874,BRA,14.76854,27.9781,12.60514,-1.24413,-22.99033,-1.97238,1.49501,-0.17378,0.79951,0.09269,-2.9876,-1.28827,18.45059333333333,-8.735613333333333,0.7069133333333334,-1.3943933333333334
1875,BRA,14.94836,27.67337,12.60611,-1.31123,-22.99943,-2.05359,1.57251,-0.17296,0.83182,0.09269,-1.73158,-0.65994,18.40928,-8.788083333333333,0.7437900000000001,-0.7662766666666666
1876,BRA,15.00626,27.35189,12.56429,-1.37983,-23.00845,-2.13948,1.65119,-0.17203,0.86439,0.09269,-2.36067,-0.96433,18.30748,-8.842586666666666,0.7811833333333333,-1.0774366666666666
1877,BRA,15.08649,26.94899,12.40149,-1.45065,-23.01736,-2.22752,1.73104,-0.17101,0.89722,0.09269,1.37409,0.81528,18.145656666666667,-8.89851,0.8190833333333333,0.7606866666666666
1878,BRA,15.14943,26.52285,12.2289,-1.52176,-23.02619,-2.31765,1.81214,-0.16992,0.93031,0.09269,-0.59638,-0.16915,17.96706,-8.9552,0.85751,-0.22428
1879,BRA,15.2235,26.13825,12.17282,-1.59356,-23.03491,-2.40828,1.89445,-0.16872,0.96366,0.09269,-0.12623,0.11064,17.84485666666667,-9.01225,0.8964633333333333,0.0256999999999999
1880,BRA,22.88677,25.86428,13.64168,-1.14673,-23.04353,-2.49945,1.97859,-0.16741,0.99734,0.09269,0.2429,0.29213,20.797576666666668,-8.89657,0.9361733333333334,0.20924
1881,BRA,25.9888,25.85908,15.35954,-0.84067,-23.05204,-2.57297,2.07852,-0.16602,1.03598,0.09269,3.57596,1.82187,22.402473333333333,-8.821893333333334,0.9828266666666666,1.8301733333333332
