Year,Country,BLUE_deforestation,H&C2023_deforestation,OSCAR_deforestation,BLUE_forest-regrowth,H&C2023_forest-regrowth,OSCAR_forest-regrowth,BLUE_wood-harvest,H&C2023_wood-harvest,OSCAR_wood-harvest,FAO_GFED4_peat,LPX-Bern_GFED4_peat,ORCHIDEE-PEAT-full_GFED4_peat,Mean_deforestation,Mean_forest-regrowth,Mean_wood-harvest,Mean_GFED4_peat,Per-capita_Per-capita territorial,Per-capita_Per-capita consumption
1950,BRA,153.14189,77.75951,131.18415,-4.77727,-23.25804,-7.48932,23.83263,0.25875,6.43332,0.09269,8.4062,4.40072,120.69518333333332,-11.841543333333334,10.1749,4.299869999999999,0.0994427108779747,
1951,BRA,173.32523,84.97891,147.70582,-4.18822,-23.25354,-7.46813,24.87311,0.27977,6.67658,0.09269,6.59767,3.49227,135.33665333333332,-11.636630000000002,10.60982,3.39421,0.106337141006173,
1952,BRA,184.56748,93.38389,156.37982,-3.75249,-23.24882,-7.55184,25.87436,0.30103,6.85331,0.09269,7.66029,4.01396,144.77706333333333,-11.517716666666663,11.009566666666666,3.922313333333333,0.118799222386677,
1953,BRA,191.95382,102.37819,163.94445,-3.36497,-23.2439,-7.60212,26.86335,0.32239,7.08665,0.09269,9.02692,4.67686,152.75882,-11.403663333333334,11.42413,4.598823333333333,0.116606229974452,
1954,BRA,199.18151,111.14515,171.6334,-3.1514,-23.23875,-7.60214,27.84403,0.34386,7.37736,0.09269,9.74945,5.03772,160.65335333333334,-11.330763333333332,11.855083333333331,4.959953333333333,0.133150809689956,
1955,BRA,204.21084,120.98935,180.53099,-2.91708,-23.2334,-7.61159,28.81955,0.36555,7.71978,0.09269,9.71702,5.06669,168.57706,-11.25402333333333,12.301626666666666,4.9588,0.148098725363361,
1956,BRA,208.62158,133.2428,189.12013,-2.72505,-23.22782,-7.61772,29.79339,0.38759,8.08273,0.09269,10.5336,5.41791,176.99483666666666,-11.190196666666669,12.75457,5.348066666666667,0.154558100548337,
1957,BRA,215.07299,144.22225,197.93718,-2.61077,-23.22202,-7.67575,30.77608,0.41014,8.26015,0.09269,10.77191,5.48357,185.74414,-11.169513333333333,13.14879,5.44939,0.147286554024302,
1958,BRA,221.42917,165.36531,208.34988,-2.43824,-23.21599,-7.76388,31.77189,0.43334,8.39256,0.09269,10.18112,5.27996,198.38145333333333,-11.13937,13.532596666666668,5.18459,0.155069173409353,
1959,BRA,228.99375,170.39422,219.01228,-2.267,-23.20974,-7.76584,32.78956,0.45736,8.75243,0.09269,10.00979,5.29332,206.13341666666668,-11.08086,13.999783333333337,5.1319333333333335,0.150234809031455,
1960,BRA,242.45837,198.28662,233.7583,-2.44999,-23.20331,-7.77584,33.79567,0.48239,9.15672,0.09269,11.21074,5.65147,224.83443,-11.143046666666663,14.47826,5.651633333333333,0.174943617364623,
